time	RMSD_R1	RMSD_R2	RMSD_R3
86.3	1.53	1.27	1.23
86.4	1.83	0.97	1.12
86.5	1.72	0.89	1.38
86.6	1.51	1.14	1.03
86.7	1.79	1.01	1.03
86.8	2.01	0.97	1.11
86.9	1.82	1.07	1.1
87.0	1.76	1.14	0.87
87.1	1.79	1.04	1.03
87.2	1.69	0.84	1.17
87.3	1.63	1.08	1.11
87.4	1.73	1.02	1.04
87.5	1.82	1.08	0.94
87.6	1.66	1.08	1.07
87.7	1.65	1.07	1.09
87.8	1.56	1.06	0.87
87.9	1.69	1.16	1.03
88.0	1.65	1.21	1.02
88.1	1.74	1.16	0.89
88.2	1.83	1.25	1.05
88.3	1.77	1.15	0.87
88.4	1.6	1.22	0.94
88.5	1.77	0.95	0.96
88.6	1.91	1.1	0.96
88.7	1.84	1.29	1.18
88.8	1.82	1.2	1.06
88.9	1.64	1.18	1.06
89.0	1.67	1.01	1.08
89.1	1.63	1.17	1.03
89.2	1.48	1.07	0.89
89.3	1.68	1.16	1.1
89.4	1.49	0.99	1.04
89.5	1.81	1.07	0.99
89.6	1.5	1.03	1.16
89.7	1.51	1.21	1.19
89.8	1.65	0.93	0.93
89.9	1.57	0.93	0.94
90.0	1.53	1.22	0.87
90.1	1.4	1.16	1.01
90.2	1.83	1.11	1.02
90.3	1.6	1.14	1.05
90.4	1.68	0.86	1.07
90.5	1.7	0.92	1.06
90.6	1.72	1.12	1.11
90.7	1.72	0.95	0.95
90.8	1.86	1.06	1.17
90.9	1.54	1.0	1.02
91.0	1.6	1.04	0.96
91.1	1.63	1.04	0.85
91.2	1.69	1.2	1.12
91.3	1.67	1.19	1.14
91.4	1.72	1.1	1.0
91.5	1.57	0.94	1.03
91.6	1.6	1.07	1.21
91.7	1.48	1.26	1.03
91.8	1.58	0.92	1.3
91.9	1.67	0.96	0.98
92.0	1.56	0.98	1.15
92.1	1.6	1.01	1.24
92.2	1.57	1.18	1.21
92.3	1.58	1.09	1.15
92.4	1.61	0.97	0.92
92.5	1.71	0.95	1.08
92.6	1.62	1.14	1.13
92.7	1.55	1.1	0.99
92.8	1.64	0.94	0.95
92.9	1.6	1.12	1.05
93.0	1.63	1.07	1.06
93.1	1.56	1.06	1.01
93.2	1.62	0.95	1.12
93.3	1.73	0.9	1.0
93.4	1.75	0.94	1.01
93.5	1.69	1.03	1.0
93.6	1.59	1.07	0.94
93.7	1.67	1.21	1.09
93.8	1.48	1.53	1.07
93.9	1.47	1.32	1.05
94.0	1.51	1.29	1.17
94.1	1.51	1.15	1.26
94.2	1.49	1.25	1.16
94.3	1.53	1.15	1.04
94.4	1.49	1.23	1.13
94.5	1.56	1.09	1.1
94.6	1.56	1.28	1.06
94.7	1.54	1.14	1.11
94.8	1.56	1.31	1.18
94.9	1.6	1.23	1.12
95.0	1.43	1.2	1.06
95.1	1.58	1.04	0.9
95.2	1.63	1.18	1.1
95.3	1.63	0.88	1.1
95.4	1.62	1.17	1.01
95.5	1.62	1.13	1.06
95.6	1.6	1.15	1.02
95.7	1.64	1.02	1.06
95.8	1.7	1.03	1.17
95.9	1.77	1.09	1.04
96.0	1.61	0.84	1.13
96.1	1.7	1.14	0.96
96.2	1.52	1.1	0.95
96.3	1.61	1.13	1.23
96.4	1.54	1.02	1.3
96.5	1.7	1.06	1.17
96.6	1.56	0.85	1.13
96.7	1.47	0.96	1.3
96.8	1.68	1.04	0.97
96.9	1.62	1.08	1.09
97.0	1.7	0.84	1.24
97.1	1.56	0.98	1.08
97.2	1.5	0.97	1.18
97.3	1.76	1.05	1.1
97.4	1.78	0.95	1.04
97.5	1.75	1.15	0.98
97.6	1.63	0.95	1.15
97.7	1.67	0.98	1.02
97.8	1.9	1.06	1.12
97.9	2.02	1.21	1.23
98.0	1.92	1.11	1.02
98.1	1.7	1.25	1.39
98.2	1.76	1.11	1.22
98.3	2.16	1.08	1.11
98.4	1.76	1.3	1.03
98.5	1.91	1.27	1.12
98.6	1.76	1.21	1.08
98.7	1.87	0.95	1.05
98.8	1.63	1.18	1.01
98.9	1.76	1.06	1.06
99.0	1.73	1.26	0.95
99.1	1.58	1.11	0.98
99.2	1.72	1.06	1.18
99.3	1.86	1.01	1.13
99.4	1.68	1.08	0.89
99.5	1.72	1.09	1.01
99.6	1.63	1.13	1.13
99.7	1.69	1.25	1.35
99.8	1.69	1.02	1.36
99.9	1.75	1.18	1.42
100.0	1.72	0.99	1.66
