time	RMSD_R1	RMSD_R2	RMSD_R3
19.8	1.55	1.34	1.33
19.9	1.73	1.4	1.35
20.0	1.7	1.37	1.15
20.1	1.61	1.15	1.16
20.2	1.46	1.19	1.28
20.3	1.55	1.09	1.42
20.4	1.76	1.0	1.26
20.5	1.63	0.93	1.31
20.6	1.68	1.04	1.43
20.7	1.71	0.95	1.36
20.8	1.77	0.94	1.41
20.9	1.51	1.07	1.51
21.0	1.69	1.01	1.21
21.1	1.68	1.01	1.29
21.2	1.62	0.89	1.29
21.3	1.73	1.11	1.34
21.4	1.83	0.9	1.3
21.5	1.85	0.98	1.39
21.6	1.96	1.02	1.41
21.7	1.69	1.02	1.41
21.8	1.87	0.96	1.28
21.9	1.89	1.16	1.41
22.0	2.03	1.08	1.32
22.1	2.13	1.21	1.31
22.2	2.08	1.17	1.25
22.3	1.84	1.11	1.34
22.4	1.61	1.2	1.4
22.5	1.6	1.1	1.46
22.6	1.47	1.11	1.33
22.7	1.71	1.12	1.44
22.8	1.62	1.07	1.42
22.9	1.82	1.09	1.61
23.0	1.93	1.13	1.57
23.1	1.78	1.25	1.61
23.2	1.78	1.38	1.64
23.3	1.7	1.38	1.59
23.4	1.73	1.43	1.89
23.5	1.72	1.29	1.63
23.6	1.56	1.34	1.54
23.7	1.65	1.3	1.45
23.8	1.72	1.14	1.36
23.9	1.68	1.27	1.5
24.0	2.02	1.38	1.37
24.1	2.05	1.18	1.48
24.2	2.04	1.23	1.59
24.3	2.12	1.31	1.6
24.4	2.12	1.39	1.62
24.5	1.93	1.31	1.61
24.6	1.9	1.29	1.48
24.7	1.86	1.09	1.44
24.8	2.03	1.02	1.58
24.9	1.93	1.23	1.31
25.0	1.79	1.5	1.42
25.1	1.87	1.25	1.37
25.2	1.72	1.34	1.44
25.3	2.0	1.32	1.51
25.4	1.67	1.35	1.63
25.5	1.78	1.12	1.5
25.6	1.98	1.5	1.49
25.7	1.9	1.37	1.5
25.8	1.9	1.28	1.57
25.9	1.67	1.09	1.62
26.0	1.72	1.23	1.37
26.1	1.73	1.14	1.51
26.2	1.82	0.98	1.49
26.3	1.61	1.13	1.49
26.4	1.71	1.34	1.43
26.5	1.78	1.33	1.5
26.6	1.5	1.27	1.52
26.7	1.47	1.07	1.52
26.8	1.66	1.37	1.47
26.9	1.47	1.21	1.54
27.0	1.62	1.13	1.6
27.1	1.46	1.18	1.59
27.2	1.5	1.02	1.5
27.3	1.77	1.2	1.53
27.4	1.74	1.33	1.54
27.5	1.52	1.22	1.49
27.6	1.5	1.1	1.34
27.7	1.66	1.14	1.56
27.8	1.79	1.32	1.34
27.9	1.62	1.2	1.28
28.0	1.65	1.24	1.62
28.1	1.65	1.08	1.4
28.2	1.72	1.15	1.31
28.3	1.76	1.02	1.45
28.4	1.51	1.01	1.28
28.5	1.39	1.27	1.3
28.6	1.74	1.33	1.33
28.7	1.73	1.18	1.45
28.8	1.8	1.04	1.44
28.9	1.77	1.05	1.34
29.0	1.92	1.28	1.43
29.1	1.74	1.26	1.36
29.2	1.7	1.17	1.37
29.3	1.66	1.03	1.48
