epoch,oracle_batch_size,oracle_latency_ms,rust_scoring_time_ms,parquet_write_ms,parquet_read_ms,reward_mean,reward_std,invalid_reward_count,duplicate_smiles_count
1,64,450.5079200025648,448.88788100797683,0.5424320697784424,0.9946910431608558,0.6457582116127014,0.44327041506767273,0,0
2,64,450.4506329540163,449.01007402222604,0.45151496306061745,0.9236040059477091,0.7642285227775574,0.4292222261428833,0,0
3,64,459.7786160884425,458.3264230750501,0.46423799358308315,0.9287899592891335,0.7297025918960571,0.45840194821357727,0,0
4,64,453.5911020357162,452.16049696318805,0.4846000811085105,0.8746330859139562,0.7462210059165955,0.5375155210494995,0,0
5,64,455.2891089115292,453.8038200698793,0.49346103332936764,0.9402820141986012,0.725094199180603,0.5444139838218689,0,0
6,64,450.2328570233658,448.7901150714606,0.4459730116650462,0.9395250817760825,0.7139469981193542,0.5055306553840637,0,0
7,64,449.86337900627404,448.4567759791389,0.4563529510051012,0.8814909961074591,0.7435904145240784,0.5409272313117981,0,0
8,64,451.1402409989387,449.701159959659,0.4635700024664402,0.9138790192082524,0.7152859568595886,0.4346645772457123,0,0
9,64,449.0927408915013,447.6736269425601,0.4300749860703945,0.9382310090586543,0.6482532620429993,0.38422295451164246,0,0
10,64,449.72784200217575,448.3452410204336,0.4575829952955246,0.873862998560071,0.6692732572555542,0.32594946026802063,0,0
11,64,456.37690695002675,454.9499530112371,0.4881139611825347,0.8674119599163532,0.6803639531135559,0.37828370928764343,0,0
12,64,453.5854218993336,452.2322230041027,0.3952810075134039,0.9098129812628031,0.7210856676101685,0.5696510672569275,0,0
13,64,460.1279270136729,458.73713097535074,0.4236050881445408,0.9189299307763577,0.6616188287734985,0.4105297029018402,0,0
14,64,448.7503580749035,447.3429130157456,0.4360879538580775,0.9135790169239044,0.6879964470863342,0.3885817229747772,0,0
15,64,452.9440760379657,451.52897702064365,0.45262393541634083,0.9105539647862315,0.6925260424613953,0.3744846284389496,0,0
16,64,458.94982595928013,457.56048103794456,0.45945902820676565,0.8614289108663797,0.7799717783927917,0.556232213973999,0,0
17,64,463.6397099820897,462.1914940653369,0.44159707613289356,0.9432010119780898,0.7348548173904419,0.4784628450870514,0,0
18,64,465.6143629690632,464.2249239841476,0.47231302596628666,0.8530790219083428,0.792423665523529,0.5939640402793884,0,0
19,64,472.0635759877041,470.6321619451046,0.452119973488152,0.9174199076369405,0.7921355962753296,0.5596994161605835,0,0
20,64,493.5944020980969,492.0856870012358,0.48440892715007067,0.9581689955666661,0.8011731505393982,0.5482683777809143,0,0
21,64,459.7988580353558,458.4187100408599,0.44245494063943624,0.8715719450265169,0.714807391166687,0.37668415904045105,0,0
22,64,456.9419940235093,455.6120609631762,0.4502820083871484,0.8212400134652853,0.6962383985519409,0.45462995767593384,0,0
23,64,470.2570759691298,468.8110239803791,0.47709501814097166,0.904059037566185,0.8124641180038452,0.5357603430747986,0,0
24,64,464.5303440047428,463.11354194767773,0.4729559877887368,0.881602056324482,0.763197660446167,0.5543922781944275,0,0
25,64,473.54002203792334,472.05390001181513,0.5240039899945259,0.8948759641498327,0.6895634531974792,0.5117670893669128,0,0
26,64,465.6494610244408,464.2371410736814,0.460942042991519,0.890524941496551,0.7927995324134827,0.6319139003753662,0,0
27,64,455.7016919134185,454.2987330351025,0.48373593017458916,0.8502299897372723,0.6666269898414612,0.4540584981441498,0,0
28,64,464.31418193969876,462.80662599019706,0.5162500310689211,0.9279260411858559,0.60831618309021,0.399812251329422,0,0
29,64,461.3776420010254,459.9763280712068,0.459337024949491,0.8747749961912632,0.7484473586082458,0.5558582544326782,0,0
30,64,455.6820570724085,454.28161905147135,0.4389379173517227,0.9087939979508519,0.6397011280059814,0.29938289523124695,0,0
31,64,462.0523019693792,460.6354619609192,0.44706498738378286,0.9066140046343207,0.7313723564147949,0.4949399530887604,0,0
32,64,464.6603480214253,463.2862629368901,0.4788249498233199,0.8374910103157163,0.6970977187156677,0.4176127016544342,0,0
33,64,469.8601659620181,468.4730840381235,0.46382297296077013,0.8624549955129623,0.7260094881057739,0.5044528245925903,0,0
34,64,465.0608110241592,463.66748795844615,0.45984890311956406,0.8700080215930939,0.6383358836174011,0.4462483525276184,0,0
35,64,464.40742106642574,462.94515393674374,0.4888030234724283,0.9129419922828674,0.7663496136665344,0.5095361471176147,0,0
