anchor_id,smiles,mw,clogp
ANCHOR_000080,Brc1ccc(Cc2nn[nH]n2)cc1,239.076,1.553
ANCHOR_000081,Brc1ccc(Cn2cnnc2)cc1,238.088,2.0889
ANCHOR_000082,Brc1ccc(N2CCCC2)cn1,227.105,2.4443
ANCHOR_000083,Brc1ccc(N2CCOCC2)cn1,243.104,1.6807
ANCHOR_000084,Brc1ccc(N[C@@H]2CCOC2)cc1,242.116,2.6499
ANCHOR_000085,Brc1ccc(OC2CC2)cn1,214.062,2.3853
ANCHOR_000086,Brc1ccc(OC2CCC2)cn1,228.089,2.7754
ANCHOR_000087,Brc1ccc(O[C@H]2CCNC2)nc1,243.104,1.5848
ANCHOR_000088,Brc1ccc(O[C@H]2CCOC2)nc1,244.088,2.0118
ANCHOR_000089,Brc1ccc(Oc2c[nH]cn2)cc1,239.072,2.9645
ANCHOR_000090,Brc1ccc([C@@H]2CCCN2)cc1,226.117,2.8736
ANCHOR_000091,Brc1ccc([C@@H]2CCCN2)cn1,227.105,2.2686
ANCHOR_000092,Brc1ccc([C@@H]2CCCN2)o1,216.078,2.4666
ANCHOR_000093,Brc1ccc([C@@H]2CCCOC2)nc1,242.116,2.7381
ANCHOR_000094,Brc1ccc([C@@H]2CCNC2)[nH]1,215.094,1.8541
ANCHOR_000095,Brc1ccc([C@@H]2CCNC2)o1,216.078,2.119
ANCHOR_000096,Brc1ccc([C@@H]2CCOCCN2)o1,246.104,2.0931
ANCHOR_000097,Brc1ccc([C@@H]2CNCCO2)s1,248.145,2.1715
ANCHOR_000098,Brc1ccc([C@H]2CCCCN2)nc1,241.132,2.6587
ANCHOR_000099,Brc1ccc([C@H]2CCCN2)s1,232.146,2.9351
ANCHOR_000100,Brc1ccc([C@H]2CCCNC2)cc1,240.144,2.9161
ANCHOR_000101,Brc1ccc([C@H]2CCCNC2)nc1,241.132,2.3111
ANCHOR_000102,Brc1ccc([C@H]2CCN2)cc1,212.09,2.4835
ANCHOR_000103,Brc1ccc([C@H]2CCNCCO2)o1,246.104,2.0931
ANCHOR_000104,Brc1ccc([C@H]2CCOC2)nc1,228.089,2.348
ANCHOR_000105,Brc1ccc([C@H]2CNCCO2)s1,248.145,2.1715
ANCHOR_000106,Brc1ccc([C@H]2COCCO2)cc1,243.1,2.537
ANCHOR_000107,Brc1ccc([C@H]2NCCO2)cc1,228.089,2.0675
ANCHOR_000108,Brc1ccc2[nH]ccc2n1,197.035,2.3254
ANCHOR_000109,Brc1ccc2[nH]ncc2c1,197.035,2.3254
ANCHOR_000110,Brc1ccc2c(c1)C1(CC1)CN2,224.101,2.9062
ANCHOR_000111,Brc1ccc2c(c1)CNCCO2,228.089,1.9311
ANCHOR_000112,Brc1ccc2c(c1)COCC2,213.074,2.5218
ANCHOR_000113,Brc1ccc2c(c1)NCC2,198.063,2.4171
ANCHOR_000114,Brc1ccc2c(n1)CCCC2,212.09,2.7229
ANCHOR_000115,Brc1ccc2c(n1)NCCO2,215.05,1.6484
ANCHOR_000116,Brc1ccc2cc3c(nc2c1)NCC3,249.111,2.9653
ANCHOR_000117,Brc1ccc2ccncc2c1,208.058,2.9973
ANCHOR_000118,Brc1ccc2cnc(C3CC3)nn12,238.088,2.3692
ANCHOR_000119,Brc1ccc2cncn2c1,197.035,2.0968
ANCHOR_000120,Brc1ccc2cnncc2c1,209.046,2.3923
ANCHOR_000121,Brc1ccc2cnoc2n1,199.007,1.9853
ANCHOR_000122,Brc1ccc2n1CCNC2,201.067,1.3538
ANCHOR_000123,Brc1ccc2nccn2c1,197.035,2.0968
ANCHOR_000124,Brc1ccc2ncncc2c1,209.046,2.3923
ANCHOR_000125,Brc1ccc2ncoc2c1,198.019,2.5903
ANCHOR_000126,Brc1ccc2nnc(C3CC3)n2c1,238.088,2.3692
ANCHOR_000127,Brc1ccc2occc2n1,198.019,2.5903
ANCHOR_000128,Brc1cccc(-c2ccn[nH]2)c1,223.073,2.8392
ANCHOR_000129,Brc1cccc(-c2ccncc2)n1,235.084,2.9061
ANCHOR_000130,Brc1cccc(-c2ncc[nH]2)n1,224.061,2.2342
ANCHOR_000131,Brc1cccc(-c2ncn[nH]2)c1,224.061,2.2342
ANCHOR_000132,Brc1cccc(-n2cccc2)n1,223.073,2.6348
ANCHOR_000133,Brc1cccc(-n2cccn2)n1,224.061,2.0298
ANCHOR_000134,Brc1cccc(C2=CCNCC2)c1,238.128,2.8258
ANCHOR_000135,Brc1cccc(C2=NCCN2)c1,225.089,1.7989
ANCHOR_000136,Brc1cccc(C2OCCO2)n1,230.061,1.8895
ANCHOR_000137,Brc1cccc(CNC2CC2)n1,227.105,2.0961
ANCHOR_000138,Brc1cccc(Cc2nnn[nH]2)c1,239.076,1.553
ANCHOR_000139,Brc1cccc(OC2CC2)c1,213.074,2.9903
ANCHOR_000140,Brc1cccc(OC2CC2)n1,214.062,2.3853
ANCHOR_000141,Brc1cccc(OC2CCC2)n1,228.089,2.7754
ANCHOR_000142,Brc1cccc(O[C@@H]2CCOC2)n1,244.088,2.0118
ANCHOR_000143,Brc1cccc([C@@H]2CCCN2)n1,227.105,2.2686
ANCHOR_000144,Brc1cccc([C@@H]2CCCNC2)c1,240.144,2.9161
ANCHOR_000145,Brc1cccc([C@@H]2CCN2)c1,212.09,2.4835
ANCHOR_000146,Brc1cccc([C@@H]2CCNC2)c1,226.117,2.526
ANCHOR_000147,Brc1cccc([C@@H]2CNCCO2)c1,242.116,2.11
ANCHOR_000148,Brc1cccc([C@H]2CCCN2)c1,226.117,2.8736
ANCHOR_000149,Brc1cccc([C@H]2CCOC2)c1,227.101,2.953
ANCHOR_000150,Brc1cccc2[nH]ccc12,196.047,2.9304
ANCHOR_000151,Brc1cccc2[nH]ncc12,197.035,2.3254
ANCHOR_000152,Brc1cccc2[nH]nnc12,198.023,1.7204
ANCHOR_000153,Brc1cccc2c1CCCNC2,226.117,2.4849
ANCHOR_000154,Brc1cccc2c1CCN=C2,210.074,2.4241
ANCHOR_000155,Brc1cccc2c1CCO2,199.047,2.384
ANCHOR_000156,Brc1cccc2c1CNCC2,212.09,2.0948
ANCHOR_000157,Brc1cccc2c1CNCC21CC1,238.128,2.5839
ANCHOR_000158,Brc1cccc2c1NCC2,198.063,2.4171
ANCHOR_000159,Brc1cccc2c1NCCC2,212.09,2.8072
ANCHOR_000160,Brc1cccc2c1[C@@H]1C[C@@H]1CN2,224.101,2.9781
ANCHOR_000161,Brc1cccc2c3c(oc12)CNC3,238.084,2.7985
ANCHOR_000162,Brc1cccc2ncncc12,209.046,2.3923
ANCHOR_000163,Brc1cccc2nncn12,198.023,1.4918
ANCHOR_000164,Brc1cccc2nnsc12,215.075,2.4538
ANCHOR_000165,Brc1cccc2oc3c(c12)CNC3,238.084,2.7985
ANCHOR_000166,Brc1cccc2ocnc12,198.019,2.5903
ANCHOR_000167,Brc1ccccc1,157.01,2.4491
ANCHOR_000168,Brc1ccccc1-c1ccn[nH]1,223.073,2.8392
ANCHOR_000169,Brc1ccccc1C1OCCCO1,243.1,2.8846
ANCHOR_000170,Brc1ccccc1CNC1CC1,226.117,2.7011
ANCHOR_000171,Brc1ccccc1CNC1COC1,242.116,1.9375
ANCHOR_000172,Brc1ccccc1Cn1ccnc1,237.1,2.6939
ANCHOR_000173,Brc1ccccc1[C@@H]1COCCN1,242.116,2.11
ANCHOR_000174,Brc1ccccc1[C@@]12CNC[C@@H]1C2,238.128,2.31
ANCHOR_000175,Brc1ccccc1[C@H]1CCCN1,226.117,2.8736
ANCHOR_000176,Brc1ccccc1[C@H]1CCCNC1,240.144,2.9161
ANCHOR_000177,Brc1cccnc1C1CC1,198.063,2.7215
ANCHOR_000178,Brc1cccnc1NC1CC1,213.078,2.4184
ANCHOR_000179,Brc1cccnc1NCC1CC1,227.105,2.666
ANCHOR_000180,Brc1cccnc1N[C@H]1CCNC1,242.12,1.6179
ANCHOR_000181,Brc1cccnc1OC1CNC1,229.077,1.1947
ANCHOR_000182,Brc1cccnc1O[C@@H]1CCNC1,243.104,1.5848
ANCHOR_000183,Brc1cccnc1[C@@H]1CCNC1,227.105,1.921
ANCHOR_000184,Brc1cccnc1[C@H]1CCCN1,227.105,2.2686
ANCHOR_000185,Brc1cccnc1[C@H]1CNCCO1,243.104,1.505
ANCHOR_000186,Brc1ccn(-c2ccccc2)n1,223.073,2.6348
ANCHOR_000187,Brc1ccn2c1CN1CCCC[C@@H]12,241.132,2.7487
ANCHOR_000188,Brc1ccn2c1CN1CCC[C@@H]12,227.105,2.3586
ANCHOR_000189,Brc1ccn2c1CN1CCC[C@H]12,227.105,2.3586
ANCHOR_000190,Brc1ccn2cc(C3CC3)nc2c1,237.1,2.9742
ANCHOR_000191,Brc1ccn2ccnc2c1,197.035,2.0968
ANCHOR_000192,Brc1ccnc(-c2ccoc2)n1,225.045,2.4991
ANCHOR_000193,Brc1ccnc(N2CCCC2)n1,228.093,1.8393
ANCHOR_000194,Brc1ccnc(N2CCNCC2)c1,242.12,1.2537
ANCHOR_000195,Brc1ccnc([C@@H]2CCOC2)c1,228.089,2.348
ANCHOR_000196,Brc1ccnc([C@H]2CCCCN2)c1,241.132,2.6587
ANCHOR_000197,Brc1ccnc2[nH]ncc12,198.023,1.7204
ANCHOR_000198,Brc1ccnc2c1=CCN=2,197.035,0.2578
ANCHOR_000199,Brc1ccnc2c1OCCN2,215.05,1.6484
ANCHOR_000200,Brc1ccnc2ncoc12,199.007,1.9853
ANCHOR_000201,Brc1ccnn1-c1ccccc1,223.073,2.6348
ANCHOR_000202,Brc1ccnn1C1CCNCC1,230.109,1.5701
ANCHOR_000203,Brc1ccnn1C1CCOCC1,231.093,1.9971
ANCHOR_000204,Brc1ccnn1[C@H]1CCCOC1,231.093,1.9971
ANCHOR_000205,Brc1ccno1,147.959,1.4371
ANCHOR_000206,Brc1ccoc1Br,225.867,2.8046
ANCHOR_000207,Brc1ccoc1CN1CCNCC1,245.12,1.4473
ANCHOR_000208,Brc1ccsc1C1OCCCO1,249.129,2.9461
ANCHOR_000209,Brc1ccsc1[C@@H]1CCCNC1,246.173,2.9776
ANCHOR_000210,Brc1cn(-c2ccccc2)nn1,224.061,2.0298
ANCHOR_000211,Brc1cn(-c2ccccn2)cn1,224.061,2.0298
ANCHOR_000212,Brc1cn2c(n1)OCCC2,203.039,1.4281
ANCHOR_000213,Brc1cn2ccsc2n1,203.064,2.1583
ANCHOR_000214,Brc1cnc(-c2ccncc2)nc1,236.072,2.3011
ANCHOR_000215,Brc1cnc(-c2ccoc2)cn1,225.045,2.4991
ANCHOR_000216,Brc1cnc(-c2ccoc2)nc1,225.045,2.4991
ANCHOR_000217,Brc1cnc(-n2cccc2)s1,229.102,2.6963
ANCHOR_000218,Brc1cnc(OC2CC2)nc1,215.05,1.7803
ANCHOR_000219,Brc1cnc([C@@H]2CCNC2)cn1,228.093,1.316
ANCHOR_000220,Brc1cnc([C@@H]2CCOC2)cn1,229.077,1.743
ANCHOR_000221,Brc1cnc([C@H]2CCNC2)cn1,228.093,1.316
ANCHOR_000222,Brc1cnc2c(c1)CNCC2,213.078,1.4898
ANCHOR_000223,Brc1cnc2c(c1)CNCCO2,229.077,1.3261
ANCHOR_000224,Brc1cnc2ccccn12,197.035,2.0968
ANCHOR_000225,Brc1cnc2ccnn2c1,198.023,1.4918
ANCHOR_000226,Brc1cnc2n1CCC2,187.04,1.5918
ANCHOR_000227,Brc1cnc2nc[nH]c2n1,199.011,1.1154
ANCHOR_000228,Brc1cncc(C2CCCC2)n1,227.105,2.8967
ANCHOR_000229,Brc1cncc(CNC2CC2)c1,227.105,2.0961
ANCHOR_000230,Brc1cncc(N2CCCC2)c1,227.105,2.4443
ANCHOR_000231,Brc1cncc(N2CCOCC2)c1,243.104,1.6807
ANCHOR_000232,Brc1cncc(NC2CC2)c1,213.078,2.4184
ANCHOR_000233,Brc1cncc2[nH]ccc12,197.035,2.3254
ANCHOR_000234,Brc1cncc2c1=CCN=2,197.035,0.2578
