epoch,oracle_batch_size,oracle_latency_ms,rust_scoring_time_ms,parquet_write_ms,parquet_read_ms,reward_mean,reward_std,invalid_reward_count,duplicate_smiles_count
1,64,1096.2177229812369,1094.394040061161,0.5659910384565592,1.1775370221585035,4.437206268310547,3.576314926147461,0,0
2,64,1094.8817150201648,1093.1979758897796,0.48649893142282963,1.1221440508961678,4.289863586425781,2.3968334197998047,0,0
3,64,1149.1554219974205,1097.0572620863095,50.797238014638424,1.227491069585085,4.624167442321777,3.3845789432525635,0,0
4,64,1089.925257023424,1088.2665599929169,0.46627805568277836,1.137825078330934,4.648993492126465,2.9616715908050537,0,0
5,64,1120.6260139588267,1118.8926819013432,0.5106470780447125,1.1553459335118532,4.027553558349609,2.2384212017059326,0,0
6,64,1095.9808729821816,1094.266891013831,0.4824961069971323,1.164460089057684,3.9241509437561035,2.1834282875061035,0,0
7,64,1090.8944529946893,1089.2063720384613,0.4672521026805043,1.1516991071403027,4.379884719848633,2.4166340827941895,0,0
8,64,1144.1638299729675,1092.248332919553,50.76409503817558,1.0830899700522423,4.4919304847717285,3.4249329566955566,0,0
9,64,1097.755530034192,1096.1261929478496,0.4937270423397422,1.0740350699052215,5.327535629272461,5.246097564697266,0,0
10,64,1086.490361019969,1084.7875820472836,0.49457710701972246,1.1379319475963712,4.187337875366211,2.205322504043579,0,0
11,64,1098.5344239743426,1096.762513043359,0.49075798597186804,1.2042090529575944,4.021849155426025,1.8732075691223145,0,0
12,64,1108.209267957136,1106.6564889624715,0.436682952567935,1.0636020451784134,4.077779769897461,2.6438350677490234,0,0
13,64,1150.0192190287635,1098.0683320667595,50.71266402956098,1.1704170610755682,4.1969170570373535,2.1803083419799805,0,0
14,64,1107.678689993918,1106.0011439258233,0.4480489296838641,1.1742080096155405,3.502739906311035,1.6706815958023071,0,0
15,64,1105.6620200397447,1104.0517640067264,0.4686969332396984,1.0762650053948164,4.096986770629883,2.227701425552368,0,0
16,64,1094.085233984515,1092.4287390662357,0.5019219825044274,1.0875370353460312,3.9141998291015625,1.644860029220581,0,0
17,64,1089.4522230373695,1087.7321620937437,0.4782980540767312,1.1762719368562102,4.819458484649658,3.3480098247528076,0,0
18,64,1146.152694011107,1094.2103049019352,50.732190953567624,1.1413970496505499,4.403000831604004,1.9403595924377441,0,0
19,64,1096.1324969539419,1094.475437887013,0.5014139460399747,1.0904599912464619,3.984041452407837,1.5141128301620483,0,0
20,64,1111.2776569789276,1109.6151049714535,0.5090840859338641,1.0891150450333953,4.015745162963867,1.6478320360183716,0,0
21,64,1102.1879280451685,1100.4779739305377,0.4970759619027376,1.140371896326542,3.6592986583709717,1.5855803489685059,0,0
22,64,1103.4347140230238,1101.827020989731,0.4527859855443239,1.0880999034270644,3.8037478923797607,1.774794101715088,0,0
23,64,1146.3986109010875,1094.8437890037894,0.4644520813599229,1.108383061364293,3.9451701641082764,1.5198899507522583,0,0
24,64,1105.5749399820343,1103.923200047575,0.4653290379792452,1.1161339934915304,3.801675319671631,1.2959026098251343,0,0
25,64,1117.76082101278,1116.0298560280353,0.5317609757184982,1.1281120823696256,3.6887733936309814,1.5593057870864868,0,0
26,64,1099.8541469452903,1098.1828781077638,0.47852506395429373,1.1316370218992233,3.922736167907715,1.7174373865127563,0,0
27,64,1108.8446390349418,1107.255031936802,0.4409520188346505,1.0885639348998666,4.300439357757568,2.0492491722106934,0,0
28,64,1150.0016949139535,1098.1442499905825,50.707858987152576,1.0787940118461847,3.856459379196167,1.5191595554351807,0,0
29,64,1109.0693309670314,1107.4591359356418,0.45563699677586555,1.0982240783050656,4.028402328491211,1.9138139486312866,0,0
30,64,1113.4257479570806,1111.7029660381377,0.5324530648067594,1.1252769036218524,3.9591259956359863,2.44514536857605,0,0
31,64,1094.6155530400574,1092.9415170103312,0.5140830762684345,1.0903009679168463,3.7642130851745605,1.7600841522216797,0,0
32,64,1104.5079559553415,1102.8288309462368,0.4576279316097498,1.1584819294512272,4.491854667663574,2.5277609825134277,0,0
33,64,1137.707371963188,1085.7301240321249,50.820879987441,1.0843269992619753,3.5813701152801514,1.5570014715194702,0,0
34,64,1103.4340399783105,1101.7501871101558,0.543139991350472,1.0727610206231475,3.774831533432007,1.7419935464859009,0,0
35,64,1115.3525119880214,1113.705562078394,0.4470979329198599,1.1346699902787805,3.718529224395752,1.7389293909072876,0,0
36,64,1103.2105090562254,1101.4596609165892,0.5307469982653856,1.1446080170571804,4.440738677978516,2.2051310539245605,0,0
37,64,1092.926815035753,1091.231683967635,0.5316209280863404,1.0929219424724579,3.889702796936035,1.595479130744934,0,0
38,64,1148.2211960246786,1096.6687420150265,0.5135349929332733,1.076695043593645,3.9091310501098633,1.959348201751709,0,0
